date,open,close,high,low,volume,amount
2026-04-14,102.42,103.1,103.4,101.88,12069637.0,1244379574.7
2026-04-15,102.9,103.55,103.99,102.68,11571256.0,1198203558.8
2026-04-16,103.5,103.44,104.0,103.22,9016632.0,932680414.0799999
2026-04-17,101.5,101.86,102.25,101.2,16743174.0,1705459703.64
2026-04-20,101.82,101.35,101.95,101.05,11696080.0,1185397708.0
