date,open,close,high,low,volume,amount
2026-04-15,11.16,11.21,11.22,11.15,50393793.0,564914419.5300001
2026-04-16,11.2,11.09,11.23,11.07,68091460.0,755134291.4
2026-04-17,11.09,11.01,11.11,10.99,72253042.0,795505992.42
2026-04-20,11.01,11.06,11.07,10.96,63003366.0,696817227.96
2026-04-21,11.04,11.08,11.16,11.03,80694634.0,894096544.72
2026-04-22,11.08,10.98,11.09,10.95,83905399.0,921281281.02
2026-04-23,10.98,11.0,11.03,10.93,64806661.0,712873271.0
2026-04-24,10.98,11.0,11.03,10.92,58271012.0,640981132.0
2026-04-27,11.33,11.38,11.57,11.29,340127567.0,3870651712.46
2026-04-28,11.36,11.46,11.46,11.32,167425883.0,1918700619.18
