date,open,close,high,low,volume,amount
2025-10-30,104.0,103.61,104.86,103.5,35898945.0,3719489691.45
2025-10-31,101.0,100.79,101.32,100.0,63705259.0,6420853054.610001
2025-11-03,100.79,99.6,100.99,98.5,55167021.0,5494635291.599999
2025-11-04,99.0,97.8,99.54,97.71,43501704.0,4254466651.2
2025-11-05,96.66,95.8,96.66,94.73,58721510.0,5625520658.0
2025-11-06,95.58,97.52,97.75,95.4,40200367.0,3920339789.8399997
2025-11-07,97.0,97.2,98.15,96.83,32256073.0,3135290295.6
2025-11-10,97.35,99.39,100.35,97.35,55487690.0,5514921509.1
2025-11-11,99.5,98.71,99.78,98.14,31985788.0,3157317133.48
2025-11-12,98.8,97.77,98.99,97.54,26064335.0,2548310032.95
2025-11-13,97.01,99.83,100.5,97.01,57999022.0,5790042366.26
2025-11-14,99.0,98.37,100.5,98.33,34298466.0,3373940100.42
2025-11-17,97.8,98.08,98.59,97.25,20724759.0,2032684362.72
2025-11-18,97.54,96.49,97.85,96.02,30475645.0,2940594986.0499997
2025-11-19,96.4,95.17,96.66,95.01,34829235.0,3314698294.9500003
2025-11-20,95.17,93.61,95.5,93.5,39181087.0,3667741554.07
2025-11-21,92.49,92.7,94.39,91.7,45171313.0,4187380715.1
2025-11-24,93.1,93.93,94.41,92.2,32730213.0,3074348907.09
2025-11-25,94.0,93.91,95.38,93.7,27748887.0,2605897978.17
2025-11-26,94.75,95.09,95.44,94.45,30657697.0,2915240407.73
2025-11-27,94.6,94.29,95.16,94.22,20227996.0,1907297742.8400002
2025-11-28,94.6,95.17,95.23,94.2,21935062.0,2087559850.54
2025-12-01,95.39,95.77,96.3,95.14,23371272.0,2238266719.44
2025-12-02,96.42,96.62,97.8,96.25,35921746.0,3470759098.52
2025-12-03,96.64,95.05,96.65,94.89,23157284.0,2201099844.2
2025-12-04,94.92,95.24,95.29,94.2,16614164.0,1582332979.36
2025-12-05,95.29,95.98,96.22,94.71,21161847.0,2031114075.0600002
2025-12-08,96.21,96.53,97.15,96.21,24780498.0,2392061471.94
2025-12-09,96.21,96.03,96.66,95.7,16322702.0,1567469073.06
2025-12-10,95.6,96.47,96.65,94.9,19840224.0,1913986409.28
2025-12-11,96.98,96.23,97.12,95.85,25090767.0,2414484508.4100003
2025-12-12,96.2,97.0,97.7,95.65,55462088.0,5379822536.0
2025-12-15,96.55,95.53,97.16,95.53,29330099.0,2801904357.4700003
2025-12-16,95.5,94.25,95.7,94.14,25876771.0,2438885666.75
2025-12-17,94.5,95.21,95.7,93.68,27282500.0,2597566825.0
2025-12-18,94.39,93.53,94.6,93.5,25279734.0,2364413521.02
2025-12-19,94.0,94.23,95.27,93.73,27206794.0,2563696198.62
2025-12-22,94.7,94.37,95.36,94.25,20623482.0,1946237996.3400002
2025-12-23,94.5,94.81,95.5,94.5,23661741.0,2243369664.21
2025-12-24,94.8,94.42,94.8,94.05,19280995.0,1820511547.9
2025-12-25,94.43,94.84,95.23,94.12,18220163.0,1728000258.92
2025-12-26,95.28,100.01,101.45,95.25,102095895.0,10210610458.95
2025-12-29,100.5,100.21,101.3,99.6,51916696.0,5202572106.16
2025-12-30,99.26,99.75,100.15,98.74,31875638.0,3179594890.5
2025-12-31,99.98,97.72,100.2,97.38,40285887.0,3936736877.64
2026-01-05,98.4,98.11,99.48,97.9,38262521.0,3753935935.31
2026-01-06,98.22,99.99,100.5,98.12,52178486.0,5217326815.139999
2026-01-07,99.96,97.6,99.96,97.06,56084881.0,5473884385.599999
2026-01-08,97.2,96.88,97.2,96.33,30065475.0,2912743218.0
2026-01-09,97.05,97.01,97.95,96.9,35034058.0,3398653966.5800004
