date,open,close,high,low,volume,amount
2025-10-30,27.15,27.36,27.55,27.12,62116600.0,1699510176.0
2025-10-31,27.47,27.41,27.61,27.3,55229849.0,1513850161.09
2025-11-03,27.41,27.45,27.54,27.23,42836655.0,1175866179.75
2025-11-04,27.42,27.07,27.42,27.05,60648580.0,1641757060.6
2025-11-05,27.01,27.25,27.32,26.94,44964646.0,1225286603.5
2025-11-06,27.2,27.22,27.38,27.13,31469231.0,856592467.8199999
2025-11-07,27.22,27.29,27.32,27.17,26067746.0,711388788.34
2025-11-10,27.3,28.27,28.35,27.29,117600270.0,3324559632.9
2025-11-11,28.28,28.35,28.45,28.08,71820831.0,2036120558.8500001
2025-11-12,28.31,28.48,28.75,28.31,70355130.0,2003714102.4
2025-11-13,28.45,28.58,28.6,28.21,51024126.0,1458269521.08
2025-11-14,28.57,28.35,28.83,28.35,40920148.0,1160086195.8
2025-11-17,28.34,28.57,28.62,28.12,37467511.0,1070446789.27
2025-11-18,28.77,29.52,29.58,28.77,130332563.0,3847417259.7599998
2025-11-19,29.59,29.58,29.78,29.39,63042735.0,1864804101.3
2025-11-20,29.56,29.4,29.77,29.36,47237188.0,1388773327.2
2025-11-21,29.21,29.1,29.55,29.0,59902127.0,1743151895.7
2025-11-24,29.35,28.91,29.39,28.88,44778082.0,1294534350.6200001
2025-11-25,28.92,29.16,29.26,28.75,40763905.0,1188675469.8
2025-11-26,29.1,29.18,29.35,28.88,28714877.0,837900110.86
2025-11-27,29.2,29.05,29.21,28.92,22302578.0,647889890.9
2025-11-28,29.05,29.38,29.46,28.97,35720114.0,1049456949.3199999
2025-12-01,29.4,29.43,29.56,29.08,37912006.0,1115750336.58
2025-12-02,29.47,29.35,29.5,29.21,24441802.0,717366888.7
2025-12-03,29.3,29.27,29.43,29.11,26371544.0,771895092.88
2025-12-04,29.18,28.99,29.28,28.94,27094245.0,785462162.55
2025-12-05,28.99,28.92,29.16,28.8,26363035.0,762418972.2
2025-12-08,28.95,28.84,29.15,28.73,33170657.0,956641747.88
2025-12-09,28.97,28.76,29.05,28.64,31850797.0,916028921.72
2025-12-10,28.7,28.56,28.85,28.46,26007581.0,742776513.36
2025-12-11,28.55,28.39,28.62,28.36,26628298.0,755977380.22
2025-12-12,28.54,28.7,28.76,28.33,48863129.0,1402371802.3
2025-12-15,28.7,28.83,29.02,28.65,33126750.0,955044202.5
2025-12-16,28.9,28.95,29.14,28.77,44664043.0,1293024044.85
2025-12-17,28.58,28.85,29.09,28.38,45788558.0,1320999898.3
2025-12-18,28.85,28.97,29.09,28.68,27882552.0,807757531.4399999
2025-12-19,28.8,29.18,29.24,28.77,35762905.0,1043561567.9
2025-12-22,29.05,29.1,29.32,28.93,40187251.0,1169449004.1000001
2025-12-23,29.31,28.93,29.5,28.81,42733840.0,1236289991.2
2025-12-24,28.81,28.88,28.99,28.7,29621304.0,855463259.52
2025-12-25,28.9,29.2,29.3,28.83,33184155.0,968977326.0
2025-12-26,29.26,29.1,29.35,28.93,29127982.0,847624276.2
2025-12-29,29.09,28.87,29.11,28.67,37912627.0,1094537541.49
2025-12-30,28.76,28.69,28.9,28.61,39049803.0,1120338848.07
2025-12-31,28.77,28.6,28.88,28.56,26672702.0,762839277.2
2026-01-05,28.6,28.61,28.91,28.55,49636137.0,1420089879.57
2026-01-06,28.55,28.62,28.69,28.21,49580978.0,1419007590.3600001
2026-01-07,28.65,28.42,28.78,28.38,40920906.0,1162972148.52
2026-01-08,27.9,27.26,27.9,27.11,163515181.0,4457423834.06
2026-01-09,27.21,27.68,27.7,27.2,87235860.0,2414688604.8
2026-01-12,27.68,27.74,27.78,27.41,61097422.0,1694842486.28
2026-01-13,27.74,27.53,28.09,27.44,55766702.0,1535257306.0600002
2026-01-14,27.51,27.4,27.66,27.35,61452193.0,1683790088.1999998
2026-01-15,27.4,27.22,27.58,27.18,48308585.0,1314959683.7
2026-01-16,27.34,26.97,27.34,26.92,58831624.0,1586688899.28
2026-01-19,27.0,27.09,27.18,26.96,45835509.0,1241683938.81
2026-01-20,27.12,27.18,27.26,26.95,48048913.0,1305969455.34
2026-01-21,27.25,26.84,27.25,26.77,71978943.0,1931914830.12
2026-01-22,26.84,26.81,27.06,26.74,53862657.0,1444057834.1699998
2026-01-23,26.81,26.82,26.99,26.75,65684976.0,1761671056.32
2026-01-26,26.83,26.68,26.98,26.52,76041726.0,2028793249.68
2026-01-27,26.69,26.37,26.78,26.37,67826730.0,1788590870.1000001
2026-01-28,26.43,26.14,26.48,26.08,81613572.0,2133378772.0800002
2026-01-29,26.1,26.83,26.84,25.8,145816433.0,3912254897.39
2026-01-30,26.7,26.34,26.8,26.33,77733695.0,2047505526.3
2026-02-02,26.67,26.45,26.84,26.36,74101417.0,1959982479.6499999
2026-02-03,26.42,26.6,26.73,26.37,57156633.0,1520366437.8000002
2026-02-04,26.64,27.01,27.04,26.61,60968829.0,1646768071.2900002
2026-02-05,27.1,27.21,27.35,26.95,67557938.0,1838251492.98
2026-02-06,27.24,27.08,27.48,27.0,56776904.0,1537518560.32
2026-02-09,27.0,27.08,27.28,26.98,43155273.0,1168644792.84
2026-02-10,27.03,26.75,27.03,26.64,56476485.0,1510745973.75
2026-02-11,26.8,26.87,26.98,26.69,36605157.0,983580568.59
2026-02-12,26.84,26.61,26.86,26.56,34447975.0,916660614.75
2026-02-13,26.7,26.48,26.7,26.46,33469500.0,886272360.0
2026-02-24,26.61,26.37,26.63,26.16,43522038.0,1147676142.06
2026-02-25,26.37,26.3,26.65,26.22,48488882.0,1275257596.6000001
2026-02-26,26.31,26.12,26.35,26.08,44462287.0,1161354936.44
2026-02-27,26.13,26.08,26.26,26.01,39534029.0,1031047476.3199999
2026-03-02,25.95,26.0,26.14,25.66,57790563.0,1502554638.0
2026-03-03,26.0,25.93,26.26,25.78,55289165.0,1433648048.45
2026-03-04,25.81,25.62,25.85,25.45,52514187.0,1345413470.94
