date,open,close,high,low,volume,amount
2025-10-30,40.8,41.2,41.36,40.73,113153844.0,4661938372.8
2025-10-31,41.26,40.89,41.3,40.84,70260700.0,2872960023.0
2025-11-03,41.14,41.79,41.97,41.06,92198068.0,3852957261.72
2025-11-04,41.84,43.01,43.11,41.81,134003592.0,5763494491.92
2025-11-05,43.1,42.8,43.47,42.75,73171377.0,3131734935.6
2025-11-06,42.65,42.34,42.89,42.31,87197274.0,3691932581.1600003
2025-11-07,42.4,42.51,42.72,42.28,59319118.0,2521655706.18
2025-11-10,42.45,42.72,42.88,42.28,53236873.0,2274279214.56
2025-11-11,42.69,42.96,43.04,42.52,54467066.0,2339905155.36
2025-11-12,43.12,42.93,43.36,42.93,58792878.0,2523978252.54
2025-11-13,42.97,43.21,43.3,42.74,58798006.0,2540661839.26
2025-11-14,43.24,43.25,43.59,43.18,51820955.0,2241256303.75
2025-11-17,43.1,42.65,43.2,42.5,61067446.0,2604526571.9
2025-11-18,42.56,42.88,42.91,42.44,51743927.0,2218779589.76
2025-11-19,42.88,43.22,43.5,42.8,51169639.0,2211551797.58
2025-11-20,43.22,43.23,43.79,43.05,58585152.0,2532636120.96
2025-11-21,43.24,43.0,43.55,42.76,79126405.0,3402435415.0
2025-11-24,43.1,42.63,43.21,42.51,67854882.0,2892653619.6600003
2025-11-25,42.66,43.25,43.3,42.44,66640949.0,2882221044.25
2025-11-26,43.34,43.25,43.63,42.97,45107206.0,1950886659.5
2025-11-27,43.18,43.19,43.39,42.6,62143434.0,2683974914.46
2025-11-28,43.1,42.95,43.12,42.82,49465789.0,2124555637.5500002
2025-12-01,43.08,43.44,43.47,42.93,56791942.0,2467041960.48
2025-12-02,43.44,43.38,43.65,43.22,40673497.0,1764416299.8600001
2025-12-03,43.27,43.01,43.58,43.0,46895972.0,2016995755.7199998
2025-12-04,43.05,43.22,43.42,43.01,36120746.0,1561138642.12
2025-12-05,43.25,43.45,43.55,42.91,54890622.0,2384997525.9
2025-12-08,43.44,43.18,43.64,43.07,58003881.0,2504607581.58
2025-12-09,43.18,43.04,43.3,42.83,46593870.0,2005400164.8
2025-12-10,43.08,41.7,43.08,41.55,108315686.0,4516764106.200001
2025-12-11,41.86,41.68,42.05,41.41,84623107.0,3527091099.7599998
2025-12-12,41.75,41.74,41.83,41.48,71762547.0,2995368711.78
2025-12-15,41.74,41.8,42.28,41.63,56266557.0,2351942082.6
2025-12-16,41.78,41.7,42.13,41.43,56617635.0,2360955379.5
2025-12-17,41.6,41.52,41.85,41.23,63126744.0,2621022410.88
2025-12-18,41.54,42.37,42.42,41.4,76811931.0,3254521516.47
2025-12-19,42.37,41.99,42.48,41.91,57382341.0,2409484498.59
2025-12-22,42.08,41.77,42.13,41.71,52473989.0,2191838520.53
2025-12-23,41.74,41.91,42.04,41.66,60651014.0,2541883996.74
2025-12-24,41.93,41.83,41.99,41.55,53630520.0,2243364651.6
2025-12-25,41.93,41.78,42.08,41.7,49921351.0,2085714044.78
2025-12-26,41.79,41.7,41.88,41.62,50880959.0,2121735990.3000002
2025-12-29,41.66,41.87,41.93,41.42,68255105.0,2857841246.35
2025-12-30,41.9,42.28,42.48,41.78,83478293.0,3529462228.04
2025-12-31,42.24,42.1,42.33,41.92,55414239.0,2332939461.9
2026-01-05,42.48,42.35,42.8,42.27,84082964.0,3560913525.4
2026-01-06,42.45,42.73,42.79,42.09,92371482.0,3947033425.8599997
2026-01-07,42.75,42.15,43.02,42.14,88055952.0,3711558376.7999997
2026-01-08,42.2,41.58,42.25,41.3,111572692.0,4639192533.36
2026-01-09,41.54,41.3,41.76,41.12,98547074.0,4069994156.2
2026-01-12,41.3,41.12,41.43,41.0,118664058.0,4879466064.96
2026-01-13,41.2,41.13,41.38,41.03,115936473.0,4768467134.490001
2026-01-14,41.13,40.07,41.17,40.06,191774380.0,7684399406.6
2026-01-15,40.11,40.11,40.42,40.0,121727094.0,4882473740.34
2026-01-16,39.49,38.72,39.5,38.65,152524530.0,5905749801.599999
2026-01-19,38.73,38.55,38.92,38.5,98870273.0,3811449024.1499996
2026-01-20,38.57,38.73,39.13,38.51,111387322.0,4314030981.059999
2026-01-21,38.92,38.24,38.94,38.18,121499985.0,4646159426.400001
2026-01-22,38.27,37.85,38.58,37.8,187754633.0,7106512859.05
2026-01-23,37.85,37.5,38.17,37.38,189211273.0,7095422737.5
2026-01-26,37.5,38.02,38.3,37.31,216679416.0,8238151396.320001
2026-01-27,38.06,38.1,38.51,37.87,157240627.0,5990867888.7
2026-01-28,38.12,37.8,38.44,37.7,204166688.0,7717500806.4
2026-01-29,37.88,38.53,38.65,37.55,199998187.0,7705930145.110001
2026-01-30,38.53,38.67,39.17,38.53,166084303.0,6422479997.01
2026-02-02,38.88,38.45,39.3,38.41,138497888.0,5325243793.6
2026-02-03,38.67,38.3,38.67,38.14,84279156.0,3227891674.7999997
2026-02-04,38.3,39.01,39.02,38.26,102131628.0,3984154808.2799997
2026-02-05,38.94,39.71,39.92,38.91,121889452.0,4840230138.92
2026-02-06,39.7,39.6,39.95,39.31,80297978.0,3179799928.8
2026-02-09,39.6,39.48,39.74,39.33,65894891.0,2601530296.68
2026-02-10,39.49,39.34,39.56,39.31,49596465.0,1951124933.1000001
2026-02-11,39.36,39.4,39.45,39.2,52881696.0,2083538822.3999999
2026-02-12,39.4,38.99,39.42,38.73,77752571.0,3031572743.29
2026-02-13,38.95,38.71,39.09,38.63,70537032.0,2730488508.7200003
2026-02-24,39.2,38.94,39.41,38.82,75467438.0,2938702035.72
2026-02-25,38.9,38.78,39.15,38.72,72397149.0,2807561438.2200003
2026-02-26,38.8,38.7,39.02,38.5,59332534.0,2296169065.8
2026-02-27,38.75,38.75,38.95,38.64,63703472.0,2468509540.0
