date,open,close,high,low,volume,amount
2025-10-30,74.5,75.3,76.1,74.5,49965301.0,3762387165.2999997
2025-10-31,75.2,76.4,76.83,75.1,50974159.0,3894425747.6000004
2025-11-03,76.39,75.39,76.95,75.18,28196997.0,2125771603.83
2025-11-04,75.12,75.16,75.79,74.9,30260649.0,2274390378.8399997
2025-11-05,75.0,75.94,76.39,74.3,26615133.0,2021153200.02
2025-11-06,75.94,77.03,77.43,75.94,35511147.0,2735423653.41
2025-11-07,77.27,76.2,77.27,76.11,26441999.0,2014880323.8000002
2025-11-10,76.26,77.33,77.55,75.95,39100815.0,3023666023.95
2025-11-11,77.33,77.23,77.39,76.68,22770754.0,1758585331.42
2025-11-12,77.23,79.49,80.55,77.23,73784703.0,5865146041.469999
2025-11-13,79.2,79.6,80.0,78.69,33337014.0,2653626314.3999996
2025-11-14,79.5,79.23,80.42,79.05,27312749.0,2163989103.27
2025-11-17,79.23,78.42,79.39,77.91,26109532.0,2047509499.44
2025-11-18,78.29,77.4,78.66,77.0,23590408.0,1825897579.2
2025-11-19,77.38,77.4,78.09,77.02,21441520.0,1659573648.0000002
2025-11-20,77.5,77.94,78.88,77.03,26192879.0,2041472989.26
2025-11-21,77.1,78.75,79.29,77.1,43949476.0,3461021235.0
2025-11-24,78.6,78.56,79.48,78.25,36773938.0,2888960569.28
2025-11-25,78.99,78.7,79.0,77.61,29101152.0,2290260662.4
2025-11-26,78.69,79.8,80.0,78.41,32072777.0,2559407604.6
2025-11-27,79.6,79.8,80.73,78.95,31646071.0,2525356465.7999997
2025-11-28,79.8,79.86,80.07,79.33,18126661.0,1447595147.46
2025-12-01,79.8,80.0,80.2,79.17,30352024.0,2428161920.0
2025-12-02,80.1,81.56,81.66,80.01,37804931.0,3083370172.36
2025-12-03,81.55,82.17,82.88,81.26,36866005.0,3029279630.85
2025-12-04,82.13,81.89,83.17,81.77,28917966.0,2368092235.7400002
2025-12-05,81.89,82.23,82.59,81.7,24616511.0,2024215699.5300002
2025-12-08,83.0,81.81,83.1,81.04,27336529.0,2236401437.4900002
2025-12-09,81.5,80.2,81.56,79.94,35647940.0,2858964788.0
2025-12-10,79.98,80.07,80.62,79.7,24571972.0,1967477798.0399997
2025-12-11,80.12,79.3,80.56,79.18,27294485.0,2164452660.5
2025-12-12,79.35,79.32,79.98,79.2,32895862.0,2609299773.8399997
2025-12-15,79.69,80.41,81.1,79.45,36554689.0,2939362542.49
