date,open,close,high,low,volume,amount
2025-10-30,40.61,40.47,40.79,40.41,43959553.0,1779043109.9099998
2025-10-31,39.79,39.75,40.03,39.52,92155579.0,3663184265.25
2025-11-03,39.65,39.52,39.84,39.2,61344390.0,2424330292.8
2025-11-04,39.5,39.71,39.92,39.41,39819816.0,1581244893.3600001
2025-11-05,39.55,39.72,39.88,39.45,28106983.0,1116409364.76
2025-11-06,39.71,39.99,40.05,39.65,34753078.0,1389775589.22
2025-11-07,39.95,40.02,40.08,39.88,24483224.0,979818624.48
2025-11-10,40.1,40.86,40.88,40.09,64099107.0,2619089512.02
2025-11-11,40.9,40.92,41.09,40.75,46845273.0,1916908571.16
2025-11-12,40.93,41.15,41.35,40.93,58015818.0,2387350910.7
2025-11-13,41.15,41.0,41.32,40.75,44163842.0,1810717522.0
2025-11-14,40.87,40.62,41.13,40.61,35122341.0,1426669491.4199998
2025-11-17,40.62,40.19,40.62,40.06,36643971.0,1472721194.49
2025-11-18,40.19,40.11,40.46,40.05,26568319.0,1065655275.09
2025-11-19,40.1,40.16,40.29,40.0,21800637.0,875513581.92
2025-11-20,40.18,40.35,40.64,40.06,33290213.0,1343260094.55
2025-11-21,40.18,40.25,40.72,39.97,55094877.0,2217568799.25
2025-11-24,40.26,40.11,40.42,40.01,35530091.0,1425111950.01
2025-11-25,40.16,40.07,40.2,39.72,41343501.0,1656634085.07
2025-11-26,40.07,40.33,40.38,40.02,31965463.0,1289167122.79
2025-11-27,40.25,40.33,40.48,40.04,29593024.0,1193486657.9199998
2025-11-28,40.28,40.36,40.39,40.11,20437145.0,824843172.2
2025-12-01,40.42,40.85,40.85,40.32,40882755.0,1670060541.75
2025-12-02,40.85,40.9,41.06,40.66,32049757.0,1310835061.3
2025-12-03,40.85,40.81,41.15,40.76,37187297.0,1517613590.5700002
2025-12-04,40.78,40.94,41.17,40.7,26462707.0,1083383224.58
2025-12-05,40.94,40.87,41.09,40.65,27438229.0,1121400419.23
2025-12-08,40.88,40.68,41.05,40.62,32810513.0,1334731668.84
2025-12-09,40.72,40.35,40.84,40.3,29229290.0,1179401851.5
2025-12-10,40.3,40.37,40.51,40.15,25869510.0,1044352118.6999999
2025-12-11,40.51,40.65,41.08,40.48,45594136.0,1853401628.3999999
2025-12-12,40.72,40.75,40.95,40.58,48713716.0,1985083927.0
2025-12-15,40.91,40.87,41.06,40.83,36005941.0,1471562808.6699998
2025-12-16,40.78,40.85,40.91,40.7,25155336.0,1027595475.6
2025-12-17,40.84,41.1,41.2,40.64,42424973.0,1743666390.3
2025-12-18,41.1,40.96,41.1,40.83,24735633.0,1013171527.6800001
2025-12-19,40.99,41.14,41.15,40.86,30797640.0,1267014909.6
2025-12-22,41.14,40.88,41.16,40.85,34582029.0,1413713345.52
2025-12-23,40.87,40.9,41.15,40.77,33087233.0,1353267829.7
2025-12-24,40.81,40.76,40.92,40.65,28664670.0,1168371949.2
2025-12-25,40.73,40.91,41.04,40.66,26407937.0,1080348702.6699998
2025-12-26,40.88,40.76,40.94,40.71,25917299.0,1056389107.2399999
2025-12-29,40.76,40.72,41.12,40.64,39274100.0,1599241352.0
2025-12-30,40.66,40.53,40.76,40.37,38389944.0,1555944430.32
2025-12-31,40.56,40.22,40.81,40.15,50297268.0,2022956118.96
2026-01-05,40.34,40.76,40.8,40.22,49672862.0,2024665855.12
2026-01-06,40.77,40.82,40.86,40.65,39544734.0,1614216041.88
2026-01-07,40.82,40.44,40.82,40.42,42363199.0,1713167767.56
