date,open,close,high,low,volume,amount
2025-10-30,6.31,6.27,6.32,6.26,73745911.0,462386861.96999997
2025-10-31,6.24,6.27,6.3,6.2,84510209.0,529879010.42999995
2025-11-03,6.28,6.3,6.32,6.26,68957100.0,434429730.0
2025-11-04,6.28,6.23,6.3,6.21,107737250.0,671203067.5
2025-11-05,6.2,6.22,6.24,6.16,69200728.0,430428528.15999997
2025-11-06,6.2,6.18,6.22,6.17,88921853.0,549537051.54
2025-11-07,6.17,6.18,6.22,6.15,73308192.0,453044626.56
2025-11-10,6.17,6.26,6.26,6.16,103119913.0,645530655.38
2025-11-11,6.24,6.28,6.31,6.23,90610454.0,569033651.12
2025-11-12,6.31,6.26,6.33,6.24,86061061.0,538742241.86
2025-11-13,6.24,6.28,6.28,6.22,76351574.0,479487884.72
2025-11-14,6.25,6.27,6.32,6.25,118218067.0,741227280.0899999
2025-11-17,6.25,6.26,6.29,6.24,84132465.0,526669230.9
2025-11-18,6.26,6.13,6.27,6.12,146183050.0,896102096.5
2025-11-19,6.12,6.06,6.13,6.04,102409420.0,620601085.1999999
2025-11-20,6.06,6.2,6.29,6.02,196224831.0,1216593952.2
2025-11-21,6.12,6.06,6.19,6.06,123101891.0,745997459.4599999
2025-11-24,6.06,6.04,6.13,6.04,100697804.0,608214736.16
2025-11-25,6.05,6.04,6.1,6.01,96065840.0,580237673.6
2025-11-26,6.03,5.89,6.06,5.88,200521722.0,1181072942.58
2025-11-27,5.6,5.47,5.65,5.37,396143324.0,2166903982.2799997
2025-11-28,5.41,5.38,5.48,5.27,295363576.0,1589056038.8799999
2025-12-01,5.3,5.2,5.34,5.17,321211625.0,1670300450.0
2025-12-02,5.24,5.2,5.26,5.18,168690929.0,877192830.8000001
2025-12-03,5.22,5.01,5.23,5.0,279233610.0,1398960386.1
2025-12-04,4.96,4.97,5.07,4.91,262000893.0,1302144438.21
2025-12-05,4.94,4.95,4.97,4.81,318099640.0,1574593218.0
2025-12-08,4.9,4.91,4.98,4.9,195411774.0,959471810.34
2025-12-09,4.89,4.77,4.93,4.76,235661274.0,1124104276.9799998
2025-12-10,4.76,5.25,5.25,4.7,636212070.0,3340113367.5
2025-12-11,5.18,5.07,5.25,5.04,546172361.0,2769093870.27
2025-12-12,5.13,5.02,5.21,5.01,335657669.0,1685001498.3799999
2025-12-15,4.9,4.87,4.94,4.8,256403480.0,1248684947.6000001
2025-12-16,4.88,4.97,5.05,4.87,276572263.0,1374564147.11
2025-12-17,4.92,4.96,4.97,4.84,198857248.0,986331950.08
2025-12-18,4.9,4.87,4.95,4.83,176163765.0,857917535.5500001
2025-12-19,4.85,4.9,4.94,4.84,166584284.0,816262991.6
2025-12-22,4.88,4.93,4.97,4.85,155419637.0,766218810.41
2025-12-23,4.88,4.79,4.9,4.77,207243276.0,992695292.04
2025-12-24,4.76,4.76,4.8,4.76,115424332.0,549419820.3199999
2025-12-25,4.79,4.79,4.8,4.75,108626646.0,520321634.34000003
2025-12-26,4.77,4.77,4.81,4.76,124179305.0,592335284.8499999
2025-12-29,4.75,4.74,4.79,4.72,120545509.0,571385712.66
2025-12-30,4.72,4.62,4.73,4.62,151736556.0,701022888.72
2025-12-31,4.66,4.65,4.68,4.62,107556125.0,500135981.25000006
2026-01-05,4.64,4.75,4.78,4.63,193853519.0,920804215.25
2026-01-06,4.73,4.83,4.86,4.72,225237598.0,1087897598.34
2026-01-07,4.81,4.73,4.86,4.73,158244388.0,748495955.24
2026-01-08,4.73,4.9,5.0,4.69,311990059.0,1528751289.1000001
2026-01-09,4.87,4.96,5.04,4.81,262671069.0,1302848502.24
2026-01-12,4.89,4.88,4.93,4.85,199073011.0,971476293.68
2026-01-13,4.87,4.83,4.97,4.82,195098147.0,942324050.01
2026-01-14,4.82,4.69,4.85,4.69,279838376.0,1312441983.44
2026-01-15,4.71,4.85,4.96,4.71,319556228.0,1549847705.8
2026-01-16,4.85,4.73,4.86,4.72,209304601.0,990010762.7300001
2026-01-19,4.7,4.73,4.77,4.68,116845018.0,552676935.1400001
2026-01-20,4.71,4.79,4.85,4.7,210200563.0,1006860696.77
2026-01-21,4.86,5.01,5.11,4.81,511785961.0,2564047664.6099997
2026-01-22,5.01,4.95,5.02,4.92,291810250.0,1444460737.5
2026-01-23,4.97,4.95,4.98,4.89,260217954.0,1288078872.3
2026-01-26,4.92,4.82,4.97,4.81,270982151.0,1306133967.8200002
2026-01-27,4.81,4.75,4.83,4.72,174565432.0,829185802.0
2026-01-28,4.88,4.86,4.93,4.81,279920784.0,1360415010.24
2026-01-29,4.82,5.13,5.18,4.77,605243432.0,3104898806.16
2026-01-30,5.06,4.88,5.07,4.88,374052474.0,1825376073.12
2026-02-02,4.7,4.68,4.8,4.66,301015723.0,1408753583.6399999
2026-02-03,4.72,4.7,4.77,4.67,164033980.0,770959706.0
2026-02-04,4.68,4.9,4.92,4.67,353254811.0,1730948573.9
2026-02-05,4.86,4.88,4.92,4.84,214093420.0,1044775889.6
2026-02-06,4.82,4.81,4.86,4.78,162512589.0,781685553.0899999
2026-02-09,4.83,4.96,5.07,4.83,281848512.0,1397968619.52
2026-02-10,4.97,4.88,4.98,4.87,161955486.0,790342771.68
2026-02-11,4.88,4.89,4.91,4.83,135996585.0,665023300.65
2026-02-12,4.93,4.92,5.06,4.92,294856547.0,1450694211.24
2026-02-13,4.95,4.97,4.99,4.88,224573180.0,1116128704.6
2026-02-24,4.94,4.92,4.96,4.9,155701885.0,766053274.2
2026-02-25,4.92,5.0,5.07,4.91,246730946.0,1233654730.0
2026-02-26,4.99,4.82,5.0,4.81,278738664.0,1343520360.48
2026-02-27,4.83,4.84,4.84,4.79,113276755.0,548259494.1999999
2026-03-02,4.76,4.75,4.82,4.73,149150710.0,708465872.5
2026-03-03,4.75,4.67,4.78,4.66,159681704.0,745713557.68
2026-03-04,4.64,4.62,4.68,4.59,117689639.0,543726132.1800001
2026-03-05,4.65,4.69,4.73,4.65,96074299.0,450588462.31000006
2026-03-06,4.67,4.72,4.72,4.65,93790470.0,442691018.4
2026-03-09,4.65,4.65,4.67,4.62,92022291.0,427903653.15000004
2026-03-10,4.66,4.67,4.69,4.65,63955629.0,298672787.43
2026-03-11,4.66,4.67,4.69,4.64,77062306.0,359880969.02
2026-03-12,4.66,4.65,4.68,4.63,75863123.0,352763521.95000005
2026-03-13,4.65,4.66,4.73,4.64,116130132.0,541166415.12
2026-03-16,4.66,4.66,4.72,4.64,90004039.0,419418821.74
2026-03-17,4.68,4.7,4.76,4.66,155801601.0,732267524.7
2026-03-18,4.68,4.63,4.69,4.61,108765302.0,503583348.26
2026-03-19,4.61,4.5,4.63,4.5,140671728.0,633022776.0
2026-03-20,4.51,4.34,4.53,4.33,182408676.0,791653653.84
2026-03-23,4.25,4.02,4.26,4.01,212064792.0,852500463.8399999
2026-03-24,4.09,4.09,4.11,4.02,91531266.0,374362877.94
